time:2012.3.8.221321, num_particles:2, a_min:0.987, a_max:1.0, a_variations:1, b_min:0.398, b_max:1.0, b_variations:1, omega:1.0, delta_t:0.01, sampl_cyc:200000.0, therm_cyc:400000.0
time:2012.3.31.104957, num_particles:6, a_min:0.8726926, a_max:0.5, a_variations:1, b_min:0.32654864, b_max:0.9, b_variations:1, omega:0.28, delta_t:0.05, sampl_cyc:100000000.0, therm_cyc:500000.0
time:2012.3.31.11842, num_particles:6, a_min:0.88, a_max:0.5, a_variations:1, b_min:0.33, b_max:0.9, b_variations:1, omega:0.28, delta_t:0.05, sampl_cyc:100000000.0, therm_cyc:500000.0
time:2012.3.31.154036, num_particles:6, a_min:0.5, a_max:0.5, a_variations:1, b_min:0.5, b_max:0.9, b_variations:1, omega:0.28, delta_t:0.05, sampl_cyc:100000.0, therm_cyc:500000.0
time:2012.3.31.154245, num_particles:6, a_min:0.5, a_max:0.5, a_variations:1, b_min:0.5, b_max:0.9, b_variations:1, omega:0.28, delta_t:0.05, sampl_cyc:10000.0, therm_cyc:500000.0
time:2012.3.31.154437, num_particles:6, a_min:0.88, a_max:0.5, a_variations:1, b_min:0.33, b_max:0.9, b_variations:1, omega:0.28, delta_t:0.05, sampl_cyc:10000.0, therm_cyc:500000.0
time:2012.3.31.161041, num_particles:6, a_min:0.88, a_max:0.5, a_variations:1, b_min:0.33, b_max:0.9, b_variations:1, omega:0.28, delta_t:0.05, sampl_cyc:10000000.0, therm_cyc:500000.0
time:2012.3.31.163825, num_particles:6, a_min:0.88, a_max:0.5, a_variations:1, b_min:0.33, b_max:0.9, b_variations:1, omega:0.28, delta_t:0.05, sampl_cyc:10000.0, therm_cyc:500000.0
time:2012.3.31.164015, num_particles:6, a_min:0.88, a_max:0.5, a_variations:1, b_min:0.33, b_max:0.9, b_variations:1, omega:0.28, delta_t:0.05, sampl_cyc:10000.0, therm_cyc:500000.0
time:2012.4.2.17220, num_particles:6, a_min:0.873, a_max:0.5, a_variations:1, b_min:0.326, b_max:0.9, b_variations:1, omega:0.28, delta_t:0.01, sampl_cyc:100000000.0, therm_cyc:500000.0
time:2012.4.2.172014, num_particles:6, a_min:0.873, a_max:0.5, a_variations:1, b_min:0.326, b_max:0.9, b_variations:1, omega:0.28, delta_t:0.025, sampl_cyc:100000000.0, therm_cyc:500000.0
